work_id,title,rating,category,fandom,relationship,character,additional tags,language,published,status,status date,words,chapters,comments,kudos,bookmarks,hits
9572771,Alone in the Desert,General Audiences,Gen,"Star Wars - All Media Types, Star Wars: Rebels",,"Obi-Wan Kenobi, Darth Maul","Sonnet, Poetry, Speculation, just a little drabble, Angst, Old Ben Kenobi, Poor Maul, Poor Obi-Wan, based on season 3 mid-season trailer, this sonnet took me forever, syllables are hard, Twin Suns speculation",English,2017-02-13,Completed,2017-02-13,109,1/1,4,18,2,244
15526098,Prove It,General Audiences,Gen,"Star Wars: The Clone Wars (2008) - All Media Types, Star Wars: Rebels",Anakin Skywalker & Ahsoka Tano,"Anakin Skywalker, Ahsoka Tano","Alternate Universe - Canon Divergence, Undercover Missions, Post-Star Wars: The Clone Wars",English,2018-08-01,Completed,2018-08-01,321,1/1,null,18,1,489
20584388,Runs in the Family,General Audiences,Gen,Star Wars: Rebels,"Ezra Bridger & Rey (Star Wars), Ezra Bridger & Kanan Jarrus","Ezra Bridger, Rey (Star Wars), Kanan Jarrus","Alternate Universe - Canon Divergence, Past Child Abuse, Found Family, Father-Daughter Relationship, Father-Son Relationship, Ezra Bridger: The Daddening",English,2019-09-10,Completed,2019-09-10,2879,1/1,3,18,null,202
10798320,Moving In,Mature,M/M,"Star Wars - All Media Types, Star Wars Original Trilogy, Star Wars: Rebels",Ezra Bridger/Luke Skywalker,"Luke Skywalker, Ezra Bridger","Moving In Together, Alternate Universe - College/University, Blow Jobs, Rimming, Smut, Anal Fingering, Kissing, Explicit Sexual Content, Established Relationship, Deepthroating, sweat kink, Porn with Feelings",English,2017-05-02,Completed,2017-05-02,3212,1/1,1,18,null,798
14855519,Unexpected Payload,General Audiences,Gen,Star Wars: Rebels,"Hera Syndulla & Sabine Wren, Kanan Jarrus & Sabine Wren","Hera Syndulla, Sabine Wren, Kanan Jarrus, Garazeb ""Zeb"" Orrelios, Ezra Bridger","Family Fluff, Mother-Daughter Relationship, Father-Daughter Relationship, Don't copy to another site",English,2018-06-05,Completed,2018-06-05,1667,1/1,null,18,2,317
20026942,Pain of a Survivor,Teen And Up Audiences,F/M,Star Wars: Rebels,Kanan Jarrus/Hera Syndulla,"Kanan Jarrus, Hera Syndulla","Blind Character, Blind Kanan Jarrus, Kanan Jarrus Needs a Hug, Hera Syndulla Needs A Hug, Blindness, True Love, Hurt/Comfort, Nightmares, Canon Disabled Character, Canon Het Relationship, Gentle Kissing, Declarations Of Love, I Love You, Romance, Short, Short One Shot, The Force, face touching, kanera - Freeform",English,2019-07-29,Completed,2019-07-29,227,1/1,2,18,null,198
14091498,Folding Chairs,Not Rated,M/M,"Star Wars - All Media Types, Star Wars: Rebels",Ezra Bridger/Darth Maul,"Ezra Bridger, Darth Maul","SPOILERS FOR THE END OF REBELS, Anger Management, Ezra Bridger Needs a Hug, So does Maul, but proceed with caution, Implied/Referenced Drug Use, what happened after space whales, you know he didn't stay in the dirt, flappy bird - Freeform, Crack Treated Seriously, Tooth-Rotting Fluff, Force Bond (Star Wars)",English,2018-03-25,Completed,2018-03-25,994,1/1,10,18,2,419
4091698,Jedi Doesn't Mean Reckless,General Audiences,Gen,"Star Wars - All Media Types, Star Wars: Rebels",,"Caleb Dume, Depa Billaba",,English,2015-06-07,Completed,2015-06-07,1057,1/1,1,18,1,417
11146107,Mhi Ba'jurl Verde,General Audiences,M/M,"Star Wars - All Media Types, Star Wars: Rebels",Kallus | ISB-021/Fenn Rau,"Kallus | ISB-021, Fenn Rau, Boy Child, baby girl","Mandalorian Childrearing Techniques, Mandalorian, Mandalorian Culture, parenting, Mandalorian Marriage Vows, Alternate Universe, One Shot, Drabble, The Jetpack Incident",English,2017-06-08,Completed,2017-06-08,527,1/1,14,18,null,239
14235651,The Stranger From The Lothal Storm,Teen And Up Audiences,F/M,"Star Wars - All Media Types, Star Wars: Rebels","kanera - Relationship, Kanan Jarrus/Hera Syndulla, Kanan Jarrus & Hera Syndulla, Caleb Dume/Hera Syndulla","Kanan Jarrus, Hera Syndulla, Jacen Syndulla, Dume the Lothwolf, Sabine (mentioned), Ahsoka (mentioned), Ezra (mentioned), Caleb Dume","Fix-It, post-series finale, Post-Canon Fix-It, Loth-wolf - Freeform, Comfort during a storm, Fluff, Father-Son Relationship, Force Shenanigans, return from the dead?, Resurrection?, Force stuff, Incoming sexual content, experimental fanfiction, screenplay format",English,2018-04-17,Updated,2018-05-13,0,13/?,30,18,2,706
21196571,The Bad Sleep Well -6- Look,Teen And Up Audiences,,"Star Wars: The Clone Wars (2008) - All Media Types, Star Wars - All Media Types, Star Wars: Rebels","CC-2224 | Cody & Original Female Character(s), CC-5576-39 | Gregor & CC-3636 | Wolffe, Alexsandr Kallus & CT-7567 | Rex, Kanan Jarrus & CT-7567 | Rex","CC-2224 | Cody, CC-3636 | Wolffe, CC-5576-39 | Gregor, CT-7567 | Rex, Anakin Skywalker | Darth Vader, Kanan Jarrus, Hera Syndulla, Alexsandr Kallus, Cut Lawquane, Suu Lawquane, Shaeeah Lawquane",Clones,English,2019-10-27,Completed,2019-10-27,15963,3/3,6,18,null,129
18293051,Dawn of a New Era,Teen And Up Audiences,M/M,Star Wars: Rebels,"Alexsandr Kallus/Garazeb ""Zeb"" Orrelios","Alexsandr Kallus, Garazeb ""Zeb"" Orrelios, Original Characters, Chava the Wise","kalluzeb - Freeform, royal au, Coronation",English,2019-03-30,Completed,2019-03-30,4491,1/1,8,18,1,237
20539016,A Fallen Jedi,General Audiences,Gen,"Star Wars: The Clone Wars (2008) - All Media Types, Star Wars - All Media Types, Star Wars: Rebels",,"Barriss Offee, Anakin Skywalker, Anakin Skywalker | Darth Vader, Darth Vader, Sheev Palpatine | Darth Sidious, Sheev Palpatine, Grand Inquisitor (Star Wars), Inquisitor(s) (Star Wars), Luminara Unduli, Ahsoka Tano","Canon-Typical Violence, Order 66, Post-Order 66, Jedi Temple (Star Wars), Child Death, Canonical Character Death, Star Wars: Rebels Spoilers, Post-Star Wars: The Clone Wars, Star Wars: The Clone Wars (2008) Spoilers",English,2019-09-06,Updated,2019-10-06,3507,3/?,5,18,2,386
2420195,A Lost Son,Teen And Up Audiences,Other,"Star Wars - All Media Types, Star Wars: Rebels",,"Original Character, Ezra Bridger","What-If, Alternate Universe - Canon Divergence, author is bad at chronology, Backstory, inspired by a line in ""Spark of Rebellion"", Underage and non-con are two different incidents, Ezra is part of neither, addresses Ezra's lack of parents, Shaggy Dog Story, Non-Graphic Rape/Non-Con, Implied/Referenced Underage Sex, Crack Treated Seriously, please tell me you see what I did here",English,2014-10-09,Completed,2014-10-09,674,1/1,13,18,null,1448
8250062,Pickled Meilooruns,General Audiences,F/M,Star Wars: Rebels,"Garazeb ""Zeb"" Orrelios/Hera Syndulla","Hera Syndulla, Garazeb ""Zeb"" Orrelios, Sabine Wren, C1-10P | Chopper, Ezra Bridger, Kanan Jarrus","Pregnancy, food cravings, Using the Force for plot devices",English,2016-11-20,Completed,2016-11-20,1671,1/1,3,17,3,314
16229489,disappear,General Audiences,,Star Wars: Rebels,Ezra Bridger & Alexsandr Kallus,"Ezra Bridger, Alexsandr Kallus","Alternate Universe - Pre-Canon, Imperial AU, AU of an AU, Young Ezra Bridger",English,2018-10-08,Completed,2018-10-08,515,1/1,null,17,null,322
10621035,[podfic] Snips,General Audiences,Gen,"Star Wars - All Media Types, Star Wars: Rebels, Star Wars: The Clone Wars (2008) - All Media Types",Kanan Jarrus & Ahsoka Tano,"Kanan Jarrus, Ahsoka Tano, Ezra Bridger, Hera Syndulla, CT-7567 | Rex, Anakin Skywalker (mentioned)","Nostalgia, Memories, Developing Friendships, Master & Padawan Relationship(s), Minor Kanan Jarrus/Hera Syndulla, Ahsoka Tano Needs a Hug, Podfic, Podfic & Podficced Works, Podfic Length: 10-20 Minutes, Podfic Cover Art, Audio Format: MP3, Audio Format: Streaming",English,2017-04-14,Completed,2017-04-14,18,1/1,null,17,2,479
16721718,look at the color,Teen And Up Audiences,F/M,"Star Wars - All Media Types, Star Wars: Rebels",Wedge Antilles/Sabine Wren,"Wedge Antilles, Sabine Wren, Luke Skywalker, Han Solo, Jacen Syndulla, mentions of others","Canon Compliant, One Shot, Mando'a, Survivor Guilt, Alcohol",English,2018-12-01,Completed,2018-12-01,2443,1/1,8,17,2,205
12601728,You Have A Duty to Me,General Audiences,F/F,Star Wars: Rebels,Riyo Chuchi/Ahsoka Tano,"Riyo Chuchi, Ahsoka Tano","slight angst, writing prompt request, Canon Divergence - AU",English,2017-11-02,Completed,2017-11-02,640,1/1,null,17,1,464
20440175,Keep In Touch,General Audiences,Gen,"Star Wars: Rebels, Star Wars: The Clone Wars (2008) - All Media Types",CT-7567 | Rex & Ahsoka Tano,"CT-7567 | Rex, Ahsoka Tano","SWR Epilogue, Post-Star Wars: Return of the Jedi, Canonical Character Death, Too Many Other Characters Mentioned to List Here, Reunions, Light Angst, Fluff and Angst",English,2019-08-29,Completed,2019-08-29,1202,1/1,null,17,1,201
14026830,He Just Wants Some Time With Her,General Audiences,F/M,"Star Wars: Rebels, Star Wars - All Media Types","Ezra Bridger/Sabine Wren, Ezra Bridger & Sabine Wren","Ezra Bridger, Sabine Wren, OCs","AU, It's an AU, was a request",English,2018-03-19,Completed,2018-03-19,1391,1/1,null,17,2,538
11060322,Fortunate Hapenstance,General Audiences,Gen,"Star Wars - All Media Types, Star Wars: Rebels, Star Wars Legends - All Media Types",Gilad Pellaeon & Thrawn | Mitth'raw'nuruodo,"Gilad Pellaeon, Thrawn | Mitth'raw'nuruodo, Darth Vader","Force Choking, First Meetings, Hurt/Comfort, Cross-Posted on FanFiction.Net",English,2017-06-01,Completed,2017-06-01,1351,2/2,1,17,2,382
